"","gutenberg_id","text"
"144",16,"She had a genius for knowing when a cough is a thing to have no patience"
"145",16,"with and when it needs stocking around your throat. She believed to her"
"146",16,"last day in old-fashioned remedies like rhubarb leaf, and made sounds of"
"147",16,"contempt over all this new-fangled talk about germs, and so on. It was a"
"148",16,"lesson in propriety to see her escorting the children to school, walking"
"149",16,"sedately by their side when they were well behaved, and butting them"
"150",16,"back into line if they strayed. On John's footer [in England soccer"
"151",16,"was called football, ""footer"" for short] days she never once forgot his"
"152",16,"sweater, and she usually carried an umbrella in her mouth in case of"
"153",16,"rain. There is a room in the basement of Miss Fulsom's school where the"
"154",16,"nurses wait. They sat on forms, while Nana lay on the floor, but that"
"155",16,"was the only difference. They affected to ignore her as of an inferior"
"156",16,"social status to themselves, and she despised their light talk. She"
"157",16,"resented visits to the nursery from Mrs. Darling's friends, but if they"
"158",16,"did come she first whipped off Michael's pinafore and put him into the"
"159",16,"one with blue braiding, and smoothed out Wendy and made a dash at John's"
"160",16,"hair."
"161",16,""
"162",16,"No nursery could possibly have been conducted more correctly, and"
"163",16,"Mr. Darling knew it, yet he sometimes wondered uneasily whether the"
"164",16,"neighbours talked."
"165",16,""
"166",16,"He had his position in the city to consider."
"167",16,""
"168",16,"Nana also troubled him in another way. He had sometimes a feeling that"
"169",16,"she did not admire him. ""I know she admires you tremendously, George,"""
"170",16,"Mrs. Darling would assure him, and then she would sign to the children"
"171",16,"to be specially nice to father. Lovely dances followed, in which the"
"172",16,"only other servant, Liza, was sometimes allowed to join. Such a midget"
"173",16,"she looked in her long skirt and maid's cap, though she had sworn, when"
"174",16,"engaged, that she would never see ten again. The gaiety of those romps!"
"175",16,"And gayest of all was Mrs. Darling, who would pirouette so wildly that"
"176",16,"all you could see of her was the kiss, and then if you had dashed at her"
"177",16,"you might have got it. There never was a simpler happier family until"
"178",16,"the coming of Peter Pan."
"179",16,""
"180",16,"Mrs. Darling first heard of Peter when she was tidying up her children's"
"181",16,"minds. It is the nightly custom of every good mother after her children"
"182",16,"are asleep to rummage in their minds and put things straight for next"
"183",16,"morning, repacking into their proper places the many articles that have"
"184",16,"wandered during the day. If you could keep awake (but of course you"
